iter	Passed	Remaining
416	2365	3307
417	2371	3301
418	2375	3294
419	2380	3287
420	2385	3281
421	2391	3275
422	2396	3268
423	2400	3261
424	2406	3255
425	2411	3249
426	2415	3241
427	2421	3235
428	2425	3228
429	2430	3221
430	2435	3215
431	2440	3208
432	2444	3201
433	2449	3194
434	2454	3188
435	2459	3182
436	2464	3175
437	2469	3169
438	2475	3162
439	2479	3156
440	2484	3149
441	2489	3142
442	2494	3135
443	2499	3129
444	2504	3123
445	2508	3116
446	2513	3109
447	2518	3102
448	2523	3096
449	2527	3089
450	2533	3083
451	2538	3077
452	2543	3070
453	2547	3064
454	2552	3057
455	2557	3051
456	2562	3045
457	2567	3038
458	2572	3031
459	2577	3025
460	2582	3019
461	2586	3012
462	2591	3005
463	2596	2999
464	2600	2992
465	2605	2985
466	2610	2979
467	2614	2972
468	2620	2966
469	2625	2960
470	2630	2954
471	2635	2948
472	2640	2941
473	2645	2936
474	2650	2929
475	2655	2923
476	2660	2917
477	2665	2910
478	2670	2904
479	2675	2898
480	2680	2892
481	2685	2885
482	2690	2880
483	2695	2874
484	2700	2867
485	2705	2861
486	2710	2855
487	2714	2848
488	2720	2842
489	2724	2835
490	2729	2829
491	2734	2823
492	2739	2817
493	2743	2810
494	2748	2803
495	2753	2797
496	2757	2791
497	2762	2784
498	2767	2778
499	2774	2774
500	2780	2768
501	2784	2762
502	2791	2757
503	2796	2752
504	2802	2747
505	2808	2741
506	2814	2736
507	2821	2732
508	2826	2726
509	2832	2721
510	2838	2715
511	2843	2710
512	2850	2705
513	2856	2700
514	2862	2695
515	2867	2689
516	2872	2683
517	2878	2678
518	2883	2672
519	2889	2666
520	2894	2661
521	2899	2655
522	2905	2649
523	2910	2643
524	2914	2637
525	2920	2631
526	2926	2626
527	2932	2621
528	2937	2615
529	2942	2609
530	2947	2603
531	2952	2597
532	2957	2590
533	2962	2585
534	2967	2579
535	2973	2573
536	2978	2568
537	2983	2562
538	2988	2556
539	2993	2550
540	2999	2544
541	3004	2538
542	3009	2532
543	3015	2527
544	3020	2521
545	3025	2515
546	3030	2509
547	3035	2503
548	3040	2497
549	3047	2493
550	3053	2487
551	3057	2481
552	3063	2476
553	3068	2470
554	3074	2465
555	3079	2458
556	3084	2453
557	3090	2448
558	3095	2442
559	3101	2436
560	3106	2430
561	3111	2425
562	3116	2419
563	3121	2413
564	3127	2407
565	3131	2401
566	3136	2395
567	3141	2389
568	3149	2385
569	3154	2379
570	3160	2374
571	3167	2370
572	3177	2367
573	3190	2367
574	3195	2362
575	3203	2358
576	3208	2351
577	3212	2345
578	3217	2339
579	3222	2333
580	3227	2327
581	3232	2321
582	3237	2315
583	3241	2309
584	3246	2302
585	3251	2296
586	3255	2290
587	3260	2284
588	3265	2278
589	3270	2272
590	3274	2266
591	3279	2260
592	3284	2254
593	3289	2248
594	3293	2242
595	3298	2235
596	3303	2229
597	3307	2223
598	3313	2217
599	3318	2212
600	3323	2206
601	3328	2200
602	3333	2194
603	3337	2188
604	3342	2182
605	3347	2176
606	3351	2170
607	3357	2164
608	3362	2158
609	3366	2152
610	3371	2146
611	3376	2140
612	3381	2134
613	3386	2128
614	3391	2123
615	3397	2117
616	3402	2111
617	3407	2106
618	3411	2100
619	3417	2094
620	3422	2089
621	3428	2083
622	3432	2077
623	3438	2071
624	3444	2066
625	3449	2060
626	3455	2055
627	3460	2049
628	3465	2043
629	3470	2038
630	3475	2032
631	3480	2026
632	3486	2021
633	3491	2015
634	3496	2009
635	3501	2004
636	3507	1998
637	3512	1992
638	3517	1987
639	3522	1981
640	3528	1976
641	3533	1970
642	3538	1964
643	3543	1958
644	3549	1953
645	3553	1947
646	3558	1941
647	3564	1936
648	3569	1930
649	3574	1924
650	3579	1918
651	3584	1913
652	3590	1907
653	3595	1902
654	3600	1896
655	3605	1890
656	3610	1884
657	3614	1878
658	3619	1872
659	3624	1867
660	3629	1861
661	3634	1855
662	3638	1849
663	3643	1843
664	3647	1837
665	3652	1831
666	3657	1825
667	3661	1819
668	3666	1814
669	3672	1808
670	3677	1803
671	3682	1797
672	3687	1791
673	3691	1785
674	3696	1779
675	3701	1774
676	3706	1768
677	3711	1762
678	3715	1756
679	3721	1751
680	3726	1745
681	3730	1739
682	3735	1733
683	3740	1727
684	3744	1722
685	3749	1716
686	3754	1710
687	3758	1704
688	3764	1699
689	3768	1693
690	3773	1687
691	3778	1681
692	3783	1676
693	3788	1670
694	3793	1664
695	3798	1659
696	3802	1653
697	3806	1647
698	3811	1641
699	3815	1635
700	3820	1629
701	3826	1624
702	3830	1618
703	3835	1612
704	3840	1607
705	3845	1601
706	3850	1595
707	3855	1589
708	3860	1584
709	3865	1578
710	3870	1573
711	3875	1567
712	3880	1561
713	3885	1556
714	3890	1550
715	3895	1545
716	3900	1539
717	3905	1534
718	3911	1528
719	3915	1522
720	3921	1517
721	3927	1512
722	3932	1506
723	3937	1500
724	3942	1495
725	3947	1489
726	3952	1484
727	3958	1478
728	3963	1473
729	3968	1467
730	3973	1462
731	3978	1456
732	3983	1451
733	3988	1445
734	3993	1439
735	3999	1434
736	4005	1429
737	4011	1423
738	4016	1418
739	4020	1412
740	4025	1407
741	4031	1401
742	4036	1396
743	4041	1390
744	4046	1385
745	4051	1379
746	4056	1374
747	4062	1368
748	4067	1363
749	4072	1357
750	4078	1352
751	4083	1346
752	4088	1341
753	4093	1335
754	4098	1329
755	4102	1324
756	4107	1318
757	4113	1313
758	4117	1307
759	4123	1302
760	4127	1296
761	4133	1291
762	4138	1285
763	4143	1279
764	4147	1274
765	4152	1268
766	4157	1262
767	4162	1257
768	4166	1251
769	4171	1245
770	4176	1240
771	4181	1234
772	4185	1229
773	4190	1223
774	4194	1217
775	4199	1212
776	4203	1206
777	4208	1200
778	4213	1195
779	4217	1189
780	4221	1183
781	4227	1178
782	4231	1172
783	4235	1167
